Time Step,Time Stamp,Electric Load (kW),Grid Serving Load (kW),PV Serving Load (kW),Wind Serving Load (kW),Battery Discharging (kW),PV Charging Battery (kW),Wind Charging Battery (kW),Grid Charging Battery (kW),PV Exporting to Grid (kW),Wind Exporting to Grid (kW),Battery to Grid (kW),Battery State of Charge (%),Diesel Generator Serving Load (kW)
1,2019-01-01 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.6,
2,2019-01-01 01:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.6,
3,2019-01-01 02:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
4,2019-01-01 03:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
5,2019-01-01 04:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.7,
6,2019-01-01 05:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.7,
7,2019-01-01 06:00:00,0.9,0.5,,,0.3,,,0.0,,,,0.6,
8,2019-01-01 07:00:00,0.7,0.5,,,0.2,,,0.0,,,,0.5,
9,2019-01-01 08:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.5,
10,2019-01-01 09:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
11,2019-01-01 10:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
12,2019-01-01 11:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
13,2019-01-01 12:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
14,2019-01-01 13:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
15,2019-01-01 14:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.7,
16,2019-01-01 15:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.8,
17,2019-01-01 16:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.8,
18,2019-01-01 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.8,
19,2019-01-01 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.8,
20,2019-01-01 19:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.8,
21,2019-01-01 20:00:00,0.5,0.5,,,0.0,,,0.1,,,,0.8,
22,2019-01-01 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.9,
23,2019-01-01 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.9,
24,2019-01-01 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,1.0,
25,2019-01-02 00:00:00,0.5,0.5,,,0.0,,,0.1,,,,1.0,
26,2019-01-02 01:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.9,
27,2019-01-02 02:00:00,0.8,0.5,,,0.2,,,0.0,,,,0.9,
28,2019-01-02 03:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.8,
29,2019-01-02 04:00:00,0.9,0.5,,,0.4,,,0.0,,,,0.7,
30,2019-01-02 05:00:00,1.0,0.5,,,0.4,,,0.0,,,,0.6,
31,2019-01-02 06:00:00,1.2,0.5,,,0.7,,,0.0,,,,0.4,
32,2019-01-02 07:00:00,1.0,0.5,,,0.5,,,0.0,,,,0.3,
33,2019-01-02 08:00:00,0.8,0.5,,,0.2,,,0.0,,,,0.2,
34,2019-01-02 09:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.2,
35,2019-01-02 10:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.3,
36,2019-01-02 11:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.3,
37,2019-01-02 12:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.3,
38,2019-01-02 13:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.4,
39,2019-01-02 14:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.4,
40,2019-01-02 15:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.5,
41,2019-01-02 16:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.5,
42,2019-01-02 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.5,
43,2019-01-02 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.5,
44,2019-01-02 19:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.5,
45,2019-01-02 20:00:00,0.5,0.5,,,0.0,,,0.1,,,,0.5,
46,2019-01-02 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.5,
47,2019-01-02 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
48,2019-01-02 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.6,
49,2019-01-03 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.7,
50,2019-01-03 01:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
51,2019-01-03 02:00:00,0.6,0.5,,,0.0,,,0.0,,,,0.7,
52,2019-01-03 03:00:00,0.7,0.5,,,0.2,,,0.0,,,,0.7,
53,2019-01-03 04:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.6,
54,2019-01-03 05:00:00,0.9,0.5,,,0.3,,,0.0,,,,0.5,
55,2019-01-03 06:00:00,1.1,0.5,,,0.6,,,0.0,,,,0.3,
56,2019-01-03 07:00:00,1.0,0.5,,,0.4,,,0.0,,,,0.2,
57,2019-01-03 08:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.2,
58,2019-01-03 09:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
59,2019-01-03 10:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
60,2019-01-03 11:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
61,2019-01-03 12:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
62,2019-01-03 13:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
63,2019-01-03 14:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
64,2019-01-03 15:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
65,2019-01-03 16:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.2,
66,2019-01-03 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.2,
67,2019-01-03 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.2,
68,2019-01-03 19:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.2,
69,2019-01-03 20:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.2,
70,2019-01-03 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.2,
71,2019-01-03 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.3,
72,2019-01-03 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.3,
73,2019-01-04 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.4,
74,2019-01-04 01:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.5,
75,2019-01-04 02:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.5,
76,2019-01-04 03:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.5,
77,2019-01-04 04:00:00,0.7,0.5,,,0.2,,,0.0,,,,0.5,
78,2019-01-04 05:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.4,
79,2019-01-04 06:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.4,
80,2019-01-04 07:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.4,
81,2019-01-04 08:00:00,0.7,0.5,,,0.1,,,0.0,,,,0.4,
82,2019-01-04 09:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
83,2019-01-04 10:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
84,2019-01-04 11:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
85,2019-01-04 12:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
86,2019-01-04 13:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
87,2019-01-04 14:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
88,2019-01-04 15:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
89,2019-01-04 16:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.4,
90,2019-01-04 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.4,
91,2019-01-04 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.4,
92,2019-01-04 19:00:00,0.5,0.4,,,0.1,,,0.0,,,,0.3,
93,2019-01-04 20:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.2,
94,2019-01-04 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.2,
95,2019-01-04 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.3,
96,2019-01-04 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.3,
97,2019-01-05 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.4,
98,2019-01-05 01:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.5,
99,2019-01-05 02:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.5,
100,2019-01-05 03:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.6,
101,2019-01-05 04:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.6,
102,2019-01-05 05:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.5,
103,2019-01-05 06:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.5,
104,2019-01-05 07:00:00,0.7,0.5,,,0.1,,,0.0,,,,0.4,
105,2019-01-05 08:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.4,
106,2019-01-05 09:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.5,
107,2019-01-05 10:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.5,
108,2019-01-05 11:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.5,
109,2019-01-05 12:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.6,
110,2019-01-05 13:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.6,
111,2019-01-05 14:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.7,
112,2019-01-05 15:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
113,2019-01-05 16:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
114,2019-01-05 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.7,
115,2019-01-05 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.7,
116,2019-01-05 19:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.7,
117,2019-01-05 20:00:00,0.5,0.5,,,0.0,,,0.1,,,,0.7,
118,2019-01-05 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.8,
119,2019-01-05 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.8,
120,2019-01-05 23:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.8,
121,2019-01-06 00:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.8,
122,2019-01-06 01:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.8,
123,2019-01-06 02:00:00,0.7,0.5,,,0.1,,,0.0,,,,0.8,
124,2019-01-06 03:00:00,0.7,0.5,,,0.2,,,0.0,,,,0.7,
125,2019-01-06 04:00:00,0.8,0.5,,,0.2,,,0.0,,,,0.7,
126,2019-01-06 05:00:00,0.8,0.5,,,0.2,,,0.0,,,,0.6,
127,2019-01-06 06:00:00,1.0,0.5,,,0.4,,,0.0,,,,0.5,
128,2019-01-06 07:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.4,
129,2019-01-06 08:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.4,
130,2019-01-06 09:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.4,
131,2019-01-06 10:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.5,
132,2019-01-06 11:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.5,
133,2019-01-06 12:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.6,
134,2019-01-06 13:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.6,
135,2019-01-06 14:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
136,2019-01-06 15:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
137,2019-01-06 16:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
138,2019-01-06 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.7,
139,2019-01-06 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.7,
140,2019-01-06 19:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.7,
141,2019-01-06 20:00:00,0.5,0.5,,,0.0,,,0.1,,,,0.7,
142,2019-01-06 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
143,2019-01-06 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.8,
144,2019-01-06 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.8,
145,2019-01-07 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.9,
146,2019-01-07 01:00:00,0.3,0.3,,,0.0,,,0.3,,,,1.0,
147,2019-01-07 02:00:00,0.4,0.4,,,0.0,,,0.2,,,,1.0,
148,2019-01-07 03:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
149,2019-01-07 04:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
150,2019-01-07 05:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
151,2019-01-07 06:00:00,0.6,0.5,,,0.1,,,0.0,,,,1.0,
152,2019-01-07 07:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
153,2019-01-07 08:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
154,2019-01-07 09:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
155,2019-01-07 10:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
156,2019-01-07 11:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
157,2019-01-07 12:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
158,2019-01-07 13:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
159,2019-01-07 14:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
160,2019-01-07 15:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
161,2019-01-07 16:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
162,2019-01-07 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
163,2019-01-07 18:00:00,0.5,0.3,,,0.3,,,0.0,,,,0.9,
164,2019-01-07 19:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.8,
165,2019-01-07 20:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.6,
166,2019-01-07 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
167,2019-01-07 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.7,
168,2019-01-07 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.8,
169,2019-01-08 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.8,
170,2019-01-08 01:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.9,
171,2019-01-08 02:00:00,0.3,0.3,,,0.0,,,0.3,,,,1.0,
172,2019-01-08 03:00:00,0.4,0.4,,,0.0,,,0.1,,,,1.0,
173,2019-01-08 04:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
174,2019-01-08 05:00:00,0.6,0.5,,,0.0,,,0.0,,,,1.0,
175,2019-01-08 06:00:00,0.7,0.5,,,0.2,,,0.0,,,,0.9,
176,2019-01-08 07:00:00,0.6,0.5,,,0.1,,,0.0,,,,0.9,
177,2019-01-08 08:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.9,
178,2019-01-08 09:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
179,2019-01-08 10:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
180,2019-01-08 11:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
181,2019-01-08 12:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
182,2019-01-08 13:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
183,2019-01-08 14:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
184,2019-01-08 15:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
185,2019-01-08 16:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
186,2019-01-08 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.9,
187,2019-01-08 18:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.8,
188,2019-01-08 19:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.6,
189,2019-01-08 20:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.5,
190,2019-01-08 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.5,
191,2019-01-08 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
192,2019-01-08 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.6,
193,2019-01-09 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.7,
194,2019-01-09 01:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.8,
195,2019-01-09 02:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.8,
196,2019-01-09 03:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.9,
197,2019-01-09 04:00:00,0.3,0.3,,,0.0,,,0.2,,,,1.0,
198,2019-01-09 05:00:00,0.4,0.4,,,0.0,,,0.1,,,,1.0,
199,2019-01-09 06:00:00,0.7,0.5,,,0.2,,,0.0,,,,0.9,
200,2019-01-09 07:00:00,0.6,0.5,,,0.0,,,0.0,,,,0.9,
201,2019-01-09 08:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.9,
202,2019-01-09 09:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
203,2019-01-09 10:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
204,2019-01-09 11:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
205,2019-01-09 12:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
206,2019-01-09 13:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
207,2019-01-09 14:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
208,2019-01-09 15:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
209,2019-01-09 16:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
210,2019-01-09 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.9,
211,2019-01-09 18:00:00,0.5,0.3,,,0.2,,,0.0,,,,0.9,
212,2019-01-09 19:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.7,
213,2019-01-09 20:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.6,
214,2019-01-09 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.6,
215,2019-01-09 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.7,
216,2019-01-09 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.7,
217,2019-01-10 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.8,
218,2019-01-10 01:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.9,
219,2019-01-10 02:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.9,
220,2019-01-10 03:00:00,0.4,0.4,,,0.0,,,0.2,,,,1.0,
221,2019-01-10 04:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
222,2019-01-10 05:00:00,0.6,0.5,,,0.0,,,0.0,,,,1.0,
223,2019-01-10 06:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.9,
224,2019-01-10 07:00:00,0.7,0.5,,,0.1,,,0.0,,,,0.9,
225,2019-01-10 08:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.9,
226,2019-01-10 09:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
227,2019-01-10 10:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
228,2019-01-10 11:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
229,2019-01-10 12:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
230,2019-01-10 13:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
231,2019-01-10 14:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
232,2019-01-10 15:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
233,2019-01-10 16:00:00,0.4,0.4,,,0.0,,,0.0,,,,0.9,
234,2019-01-10 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.9,
235,2019-01-10 18:00:00,0.5,0.1,,,0.4,,,0.0,,,,0.8,
236,2019-01-10 19:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.6,
237,2019-01-10 20:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.5,
238,2019-01-10 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.5,
239,2019-01-10 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.6,
240,2019-01-10 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.6,
241,2019-01-11 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.7,
242,2019-01-11 01:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.8,
243,2019-01-11 02:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.8,
244,2019-01-11 03:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.9,
245,2019-01-11 04:00:00,0.3,0.3,,,0.0,,,0.2,,,,1.0,
246,2019-01-11 05:00:00,0.4,0.4,,,0.0,,,0.1,,,,1.0,
247,2019-01-11 06:00:00,0.6,0.5,,,0.0,,,0.0,,,,1.0,
248,2019-01-11 07:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
249,2019-01-11 08:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
250,2019-01-11 09:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
251,2019-01-11 10:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
252,2019-01-11 11:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
253,2019-01-11 12:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
254,2019-01-11 13:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
255,2019-01-11 14:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
256,2019-01-11 15:00:00,0.4,0.0,,,0.4,,,0.0,,,,0.9,
257,2019-01-11 16:00:00,0.4,0.0,,,0.4,,,0.0,,,,0.8,
258,2019-01-11 17:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.6,
259,2019-01-11 18:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.5,
260,2019-01-11 19:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.3,
261,2019-01-11 20:00:00,0.5,0.0,,,0.5,,,0.0,,,,0.2,
262,2019-01-11 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.2,
263,2019-01-11 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.3,
264,2019-01-11 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.3,
265,2019-01-12 00:00:00,0.3,0.3,,,0.0,,,0.3,,,,0.4,
266,2019-01-12 01:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.5,
267,2019-01-12 02:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.5,
268,2019-01-12 03:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.6,
269,2019-01-12 04:00:00,0.2,0.2,,,0.0,,,0.3,,,,0.7,
270,2019-01-12 05:00:00,0.3,0.3,,,0.0,,,0.2,,,,0.7,
271,2019-01-12 06:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.8,
272,2019-01-12 07:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.8,
273,2019-01-12 08:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.9,
274,2019-01-12 09:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.9,
275,2019-01-12 10:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.9,
276,2019-01-12 11:00:00,0.4,0.4,,,0.0,,,0.2,,,,1.0,
277,2019-01-12 12:00:00,0.4,0.4,,,0.0,,,0.1,,,,1.0,
278,2019-01-12 13:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
279,2019-01-12 14:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
280,2019-01-12 15:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
281,2019-01-12 16:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
282,2019-01-12 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
283,2019-01-12 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
284,2019-01-12 19:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
285,2019-01-12 20:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
286,2019-01-12 21:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
287,2019-01-12 22:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
288,2019-01-12 23:00:00,0.3,0.3,,,0.0,,,0.0,,,,1.0,
289,2019-01-13 00:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
290,2019-01-13 01:00:00,0.6,0.5,,,0.1,,,0.0,,,,1.0,
291,2019-01-13 02:00:00,0.7,0.5,,,0.1,,,0.0,,,,0.9,
292,2019-01-13 03:00:00,0.8,0.5,,,0.2,,,0.0,,,,0.9,
293,2019-01-13 04:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.8,
294,2019-01-13 05:00:00,0.9,0.5,,,0.4,,,0.0,,,,0.7,
295,2019-01-13 06:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.7,
296,2019-01-13 07:00:00,0.8,0.5,,,0.3,,,0.0,,,,0.6,
297,2019-01-13 08:00:00,0.7,0.5,,,0.1,,,0.0,,,,0.6,
298,2019-01-13 09:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.6,
299,2019-01-13 10:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.7,
300,2019-01-13 11:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.7,
301,2019-01-13 12:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.7,
302,2019-01-13 13:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.8,
303,2019-01-13 14:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.8,
304,2019-01-13 15:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.8,
305,2019-01-13 16:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.9,
306,2019-01-13 17:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.9,
307,2019-01-13 18:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.9,
308,2019-01-13 19:00:00,0.5,0.5,,,0.0,,,0.0,,,,0.9,
309,2019-01-13 20:00:00,0.5,0.5,,,0.0,,,0.1,,,,0.9,
310,2019-01-13 21:00:00,0.4,0.4,,,0.0,,,0.1,,,,0.9,
311,2019-01-13 22:00:00,0.4,0.4,,,0.0,,,0.2,,,,0.9,
312,2019-01-13 23:00:00,0.3,0.3,,,0.0,,,0.2,,,,1.0,
313,2019-01-14 00:00:00,0.3,0.3,,,0.0,,,0.0,,,,1.0,
314,2019-01-14 01:00:00,0.2,0.2,,,0.0,,,0.0,,,,1.0,
315,2019-01-14 02:00:00,0.2,0.2,,,0.0,,,0.0,,,,1.0,
316,2019-01-14 03:00:00,0.2,0.2,,,0.0,,,0.0,,,,1.0,
317,2019-01-14 04:00:00,0.3,0.3,,,0.0,,,0.0,,,,1.0,
318,2019-01-14 05:00:00,0.3,0.3,,,0.0,,,0.0,,,,1.0,
319,2019-01-14 06:00:00,0.5,0.5,,,0.0,,,0.0,,,,1.0,
320,2019-01-14 07:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
321,2019-01-14 08:00:00,0.4,0.4,,,0.0,,,0.0,,,,1.0,
